school,age,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,studytime_label
GP,18,course,mother,2,2,0,yes,no,no,no,yes,yes,no,4,3,4,1,1,3,6,5,6,6,2 - 5 hours
GP,17,course,father,1,2,0,no,yes,no,no,no,yes,yes,5,3,3,1,1,3,4,5,5,6,2 - 5 hours
GP,15,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,4,3,2,2,3,3,10,7,8,10,2 - 5 hours
GP,15,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,5 - 10 hours
GP,16,home,father,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,2,5,4,6,10,10,2 - 5 hours
GP,16,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,2,1,2,5,10,15,15,15,2 - 5 hours
GP,16,home,mother,1,2,0,no,no,no,no,yes,yes,yes,4,4,4,1,1,3,0,12,12,11,2 - 5 hours
GP,17,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,4,1,4,1,1,1,6,6,5,6,2 - 5 hours
GP,15,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,2,2,1,1,1,0,16,18,19,2 - 5 hours
GP,15,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,5,5,1,1,1,5,0,14,15,15,2 - 5 hours
GP,15,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,3,3,3,1,2,2,0,10,8,9,2 - 5 hours
GP,15,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,5,2,2,1,1,4,4,10,12,12,5 - 10 hours
GP,15,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,3,5,2,14,14,14,< 2 hours
GP,15,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,5,4,3,1,2,3,2,10,10,11,2 - 5 hours
GP,15,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,5 - 10 hours
GP,16,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,4,4,4,1,2,2,4,14,14,14,< 2 hours
GP,16,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,3,2,3,1,2,2,6,13,14,14,5 - 10 hours
GP,16,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,5,3,2,1,1,4,4,8,10,10,2 - 5 hours
GP,17,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,5,5,5,2,4,5,16,6,5,5,< 2 hours
GP,16,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,3,1,3,1,3,5,4,8,10,10,< 2 hours
GP,15,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,4,4,1,1,1,1,0,13,14,15,2 - 5 hours
GP,15,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,5,4,2,1,1,5,0,12,15,15,< 2 hours
GP,16,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,4,5,1,1,3,5,2,15,15,16,2 - 5 hours
GP,16,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,5,4,4,2,4,5,0,13,13,12,2 - 5 hours
GP,15,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,5,2,10,9,8,5 - 10 hours
GP,16,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,1,2,2,1,3,5,14,6,9,8,< 2 hours
GP,15,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,4,2,2,1,2,5,2,12,12,11,< 2 hours
GP,15,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,2,2,4,2,4,1,4,15,16,15,< 2 hours
GP,16,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,5,3,3,1,1,5,4,11,11,11,2 - 5 hours
GP,16,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,2 - 5 hours
GP,15,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,5,4,2,3,4,5,0,9,11,12,2 - 5 hours
GP,15,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,1,1,1,5,0,17,16,17,2 - 5 hours
GP,15,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,2 - 5 hours
GP,15,course,mother,1,2,0,no,no,no,yes,no,yes,yes,5,3,2,1,1,2,0,8,10,12,2 - 5 hours
GP,16,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,5,4,3,1,1,5,0,12,14,15,< 2 hours
GP,15,other,father,2,1,0,no,yes,no,yes,yes,yes,no,3,5,1,1,1,5,0,8,7,6,< 2 hours
GP,15,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,5,4,3,1,1,4,2,15,16,18,5 - 10 hours
GP,16,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,5 - 10 hours
GP,15,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,5,2,12,12,11,5 - 10 hours
GP,15,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,4,3,1,1,1,2,8,14,13,13,< 2 hours
GP,16,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,3,3,3,1,2,3,25,7,10,11,2 - 5 hours
GP,15,home,other,1,1,0,no,yes,no,no,no,yes,yes,5,4,3,2,4,5,8,12,12,12,< 2 hours
GP,15,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,2,19,18,18,2 - 5 hours
GP,15,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,5,4,1,1,1,1,0,8,8,11,< 2 hours
GP,16,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,4,3,3,2,2,5,14,10,10,9,2 - 5 hours
GP,15,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,2 - 5 hours
GP,16,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,2,3,5,1,4,3,12,11,12,11,2 - 5 hours
GP,16,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,4,2,2,1,1,2,4,19,19,20,> 10 hours
GP,15,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,2,5,2,15,15,14,2 - 5 hours
GP,15,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,4,4,4,1,1,3,2,7,7,7,2 - 5 hours
GP,16,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,4,3,3,2,3,4,2,12,13,13,2 - 5 hours
GP,15,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,1,5,2,11,13,13,2 - 5 hours
GP,15,other,father,2,1,1,no,no,no,no,yes,yes,no,5,5,5,3,4,5,6,11,11,10,< 2 hours
GP,15,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,3,3,4,2,3,5,0,8,10,11,< 2 hours
GP,15,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,5,3,4,4,4,1,6,10,13,13,< 2 hours
GP,16,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,2 - 5 hours
GP,15,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,1,0,14,15,15,2 - 5 hours
GP,15,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,3,2,2,1,1,5,4,14,15,15,2 - 5 hours
